"Akun","Tweet","Lokasi","Label"
"https://twitter.com/ddberiman","@anteraja_id #BaiknyaRamadan itu jika kita saling berbagi untuk kebaikan bersama, bersama saling berlomba dlm kebaikan. Mempererat silaturahmi, menjaga kerukunan antar sesama baik dgn keluarga maupun orang sekitar. #PastiLebihBaik dgn menjadikan diri lbh baik dari hari kemarin🙏","","netral"
"https://twitter.com/flabbergst","@anteraja_id @AnterajaCare Cek dm cepet","","negatif"
"https://twitter.com/anteraja_id","@wwcd4x Hi Kak, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI","","netral"
"https://twitter.com/anteraja_id","@flabbergst Hi Kak Thomas, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk move DM ke akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI","","netral"
"https://twitter.com/wwcd4x","Kocak luu @anteraja_id udah bener di jogja tinggal kirim ke hub yg deket malah meroket keluar lagi. Gilaa lu https://t.co/uNsfprJuoK","","negatif"
"https://twitter.com/TriIndah140699","@anteraja_id Dear @Anteraja 
Definisi #BaiknyaRamadan versi aku adalah Ketika ibadah makin taat, iman makin meningkat, melakukan hal-hal yang penuh manfaat, dan selalu menabur kebaikan kepada masyarakat. Supaya bahagia dunia akhirat ✨ 
#PastiLebihBaik","","netral"
"https://twitter.com/kkkhlz","@anteraja_id @AnterajaCare Mana?? Janji2 aja diusut tapi ga ada kepastian @anteraja_id @AnterajaCare","","negatif"
"https://twitter.com/flabbergst","woi paket gue mana ya masa kalah cepet ni sampenya sama barang yg beli dari luar negeri @anteraja_id","","negatif"
"https://twitter.com/anteraja_id","@AgusWaliyul Hi Kak Agus, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk move DM ke akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI","","netral"
"https://twitter.com/anteraja_id","@AgusWaliyul Hi Kak Agus, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI","","netral"
"https://twitter.com/fansnyashani","@anteraja_id @C_IndahJKT48 Dear Admin Anteraja https://t.co/VCqKR1uyfu","","netral"
